Code,Airport
SSB,Christiansted Harbor Seaplane Base
SSC,Shaw Air Force Base
SSD,V??ctor Laf??n Airport
SSE,Solapur Airport
SSF,Stinson Municipal Airport
SSG,Malabo Airport
SSH,Sharm El Sheikh International Airport
SSI,Malcolm McKinnon Airport
SSJ,Sandnessj??en Airport (Stokka)
SSK,Sturt Creek Airport
SSL,Santa Rosalia Airport
SSN,Seoul Air Base (K-16)
SSO,S?œo Louren??o Airport
SSP,Silver Plains Airport
SSQ,La Sarre Airport
SSR,Sara Airport
SSS,Siassi Airport
SST,Santa Teresita Airport
SSU,Greenbrier Airport
SSV,Siasi Airport
SSW,Stuart Island Airpark
SSX,Singita Safari Lodge Airport
SSY,Mbanza Congo Airport
SSZ,Base A??rea de Santos Airport
STA,Stauning Airport
STB,Santa B?­rbara del Zulia Airport
STC,St Cloud Regional Airport
STD,Mayor Buenaventura Vivas International Airport
STE,Stevens Point Municipal Airport
STF,Stephens Island Seaplane Base
STG,St George Airport
STH,Strathmore Airport
STI,Cibao International Airport
STJ,Rosecrans Memorial Airport
STK,Sterling Municipal Airport
STL,St Louis Lambert International Airport
STM,Maestro Wilson Fonseca Airport
STN,London Stansted Airport
STP,St Paul Downtown Holman Field
STQ,St Marys Municipal Airport
STR,Stuttgart Airport
STS,Charles M. Schulz Sonoma County Airport
STT,Cyril E. King Airport
STU,Santa Cruz Airport
STV,Surat Airport
STW,Stavropol Shpakovskoye Airport
STX,Henry E Rohlsen Airport
STY,Nueva Hesperides International Airport
STZ,Santa Terezinha Airport
SUA,Witham Field
SUB,Juanda International Airport
SUD,Stroud Municipal Airport
SUE,Door County Cherryland Airport
SUF,Lamezia Terme Airport
SUG,Surigao Airport
SUH,Sur Airport
SUI,Sukhumi Dranda Airport
SUJ,Satu Mare Airport
SUK,Sakkyryr Airport
SUL,Sui Airport
SUM,Sumter Airport
SUN,Friedman Memorial Airport
SUO,Sunriver Airport
SUP,Trunojoyo Airport
SUQ,Sucua Airport
SUR,Summer Beaver Airport
SUS,Spirit of St Louis Airport
SUT,Sumbawanga Airport
SUU,Travis Air Force Base
SUV,Nausori International Airport
SUW,Richard I Bong Airport
SUX,Sioux Gateway Col. Bud Day Field
SUY,Suntar Airport
SUZ,Suria Airport
SVA,Savoonga Airport
SVB,Sambava Airport
SVC,Grant County Airport
SVD,Argyle International Airport
SVD,E. T. Joshua Airport
SVE,Susanville Municipal Airport
SVF,Sav?? Airport
SVG,Stavanger Airport Sola
SVH,Statesville Regional Airport
SVI,Eduardo Falla Solano Airport
SVJ,Svolv??r Helle Airport
SVK,Silver Creek Airport
SVL,Savonlinna Airport
SVN,Hunter Army Air Field
SVO,Sheremetyevo International Airport
SVP,Kuito Airport
SVQ,Sevilla Airport
SVS,Stevens Village Airport
SVT,Savuti Airport
SVU,Savusavu Airport
SVV,San Salvador de Paul Airport
SVW,Sparrevohn LRRS Airport
SVX,Koltsovo Airport
SVZ,San Antonio Del Tachira Airport
SWA,Jieyang Chaoshan International Airport
SWB,Shaw River Airport
SWC,Stawell Airport
SWD,Seward Airport
SWE,Siwea Airport
SWF,Stewart International Airport
SWG,Satwag Airport
SWH,Swan Hill Airport
SWJ,Southwest Bay Airport
SWM,Suia-Missu Airport
SWN,Sahiwal Airport
SWO,Stillwater Regional Airport
SWP,Swakopmund Airport
SWQ,Sumbawa Besar Airport
SWR,Silur Airport
SWS,Swansea Airport
SWT,Strezhevoy Airport
SWU,Suwon Airport
SWV,Shikarpur Airport
SWW,Avenger Field
SWX,Shakawe Airport
SWY,Sitiawan Airport
SXA,Sialum Airport
SXB,Strasbourg Airport
SXE,West Sale Airport
SXF,Berlin-Sch??nefeld Airport
SXG,Senanga Airport
SXH,Sehulea Airport
SXI,Sirri Island Airport
SXJ,Shanshan Airport
SXK,Saumlaki/Olilit Airport
SXL,Sligo Airport
SXM,Princess Juliana International Airport
SXN,Sua Pan Airport
SXO,S?œo F??lix do Araguaia Airport
SXP,Nunam Iqua Airport
SXQ,Soldotna Airport
SXR,Sheikh ul Alam Airport
SXS,Sahabat [Sahabat 16] Airport
SXT,Sungai Tiang Airport
SXU,Soddu Airport
SXV,Salem Airport
SXW,Sauren Airport
SXX,S?œo F??lix do Xingu Airport
SXY,Sidney Municipal Airport
SXZ,Siirt Airport
SYA,Eareckson Air Station
SYB,Seal Bay Seaplane Base
SYC,Shiringayoc Airport
SYD,Sydney Kingsford Smith International Airport
SYE,Sadah Airport
SYF,Silva Bay Seaplane Base
SYH,Syangboche Airport
SYI,Bomar Field Shelbyville Municipal Airport
SYJ,Sirjan Airport
SYK,Stykkish??lmur Airport
SYL,Roberts Army Heliport
SYM,Pu'er Simao Airport
SYN,Stanton Airfield
SYO,Shonai Airport
SYP,Ruben Cantu Airport
SYQ,Tobias Bolanos International Airport
SYR,Syracuse Hancock International Airport
SYS,Saskylakh Airport
SYT,Saint-Yan Airport
SYU,Warraber Island Airport
SYV,Sylvester Airport
SYW,Sehwan Sharif Airport
SYX,Sanya Phoenix International Airport
SYY,Stornoway Airport
SYZ,Shiraz Shahid Dastghaib International Airport
SZA,Soyo Airport
SZB,Sultan Abdul Aziz Shah International Airport
SZE,Semera Airport
SZF,Samsun ??ar?amba Airport
SZG,Salzburg Airport
SZH,Senipah Heliport
SZI,Zaysan Airport
SZJ,Siguanea Airport
SZK,Skukuza Airport
SZL,Whiteman Air Force Base
SZM,Sesriem Airstrip
SZN,Santa Cruz Island Airport
SZP,Santa Paula Airport
SZQ,Saenz Pe?ña Airport
SZR,Stara Zagora Airport
SZS,Ryan's Creek Aerodrome
SZT,San Cristobal de las Casas Airport
SZV,Suzhou Guangfu Airport
SZW,Schwerin Parchim Airport
SZX,Shenzhen Bao'an International Airport
SZY,Olsztyn-Mazury Airport
SZZ,"Szczecin-Goleni??w ""Solidarno?Ž?"" Airport"
TAA,Tarapaina Airport
TAB,Tobago-Crown Point Airport
TAC,Daniel Z. Romualdez Airport
TAD,Perry Stokes Airport
TAE,Daegu Airport
TAF,Tafaraoui Airport
TAG,Tagbilaran Airport
TAH,Tanna Airport
TAI,Ta'izz International Airport
TAJ,Tadji Airport
TAK,Takamatsu Airport
TAL,Ralph M Calhoun Memorial Airport
TAM,General Francisco Javier Mina International Airport
TAN,Tangalooma Airport
TAO,Liuting Airport
TAP,Tapachula International Airport
TAQ,Tarcoola Airport
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport"
TAS,Tashkent International Airport
TAT,Poprad-Tatry Airport
TAU,Tauramena Airport
TAV,Tau Airport
TAW,Tacuarembo Airport
TAX,Taliabu Island Airport
TAY,Tartu Airport
TAZ,Da?oguz Airport
TBA,Tabibuga Airport
TBB,Dong Tac Airport
TBC,Tuba City Airport
TBE,Timbunke Airport
TBF,Tabiteuea North Airport
TBG,Tabubil Airport
TBH,Tugdan Airport
TBI,New Bight Airport
TBJ,Tabarka 7 Novembre Airport
TBK,Timber Creek Airport
TBL,Tableland Homestead Airport
TBM,Tumbang Samba Airport
TBN,Waynesville-St. Robert Regional Forney field
TBO,Tabora Airport
TBP,Capitan FAP Pedro Canga Rodriguez Airport
TBQ,Tarabo Airport
TBR,Statesboro Bulloch County Airport
TBS,Tbilisi International Airport
TBT,Tabatinga Airport
TBU,Fua'amotu International Airport
TBV,Tabal Airstrip
TBW,Donskoye Airport
TBY,Tshabong Airport
TBZ,Tabriz International Airport
TCA,Tennant Creek Airport
TCB,Treasure Cay Airport
TCC,Tucumcari Municipal Airport
TCD,Tarapac?­ Airport
TCE,Tulcea Airport
TCG,Tacheng Airport
TCH,Tchibanga Airport
TCJ,Torembi Airport
TCK,Tinboli Airport
TCL,Tuscaloosa Regional Airport
TCM,McChord Air Force Base
TCN,Tehuacan Airport
TCO,La Florida Airport
TCP,Taba International Airport
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport
TCR,Tuticorin Airport
TCS,Truth Or Consequences Municipal Airport
TCT,Takotna Airport
TCU,Thaba Nchu Tar Airport
TCW,Tocumwal Airport
TCX,Tabas Airport
TCY,Terrace Bay Airport
TCZ,Tengchong Tuofeng Airport
TDA,Trinidad Airport
TDB,Tetebedi Airport
TDD,Teniente Av. Jorge Henrich Arauz Airport
TDG,Tandag Airport
TDJ,Tadjoura Airport
TDK,Taldykorgan Airport
TDL,H??roes De Malvinas Airport
TDN,Theda Station Airport
TDO,Ed Carlson Memorial Field South Lewis County Airport
TDP,Trompeteros Airport
TDR,Theodore Airport
TDS,Sasereme Airport
TDT,Tanda Tula Airport
TDV,Samangoky Airport
TDW,Tradewind Airport
TDX,Trat Airport
TDZ,Toledo Executive Airport
TEA,Tela Airport
TEB,Teterboro Airport
TEC,Tel?¦maco Borba Airport
TED,Thisted Airport
TEE,Cheikh Larbi T??bessi Airport
TEF,Telfer Airport
TEG,Tenkodogo Airport
TEI,Tezu Airport
TEK,Tatitlek Airport
TEL,Telupid Airport
TEM,Temora Airport
TEN,Tongren Fenghuang Airport
TEO,Terapo Airport
TEP,Tep Tep Airport
TEQ,TekirdaŽ? ??orlu Airport
TER,Lajes Airport
TES,Tessenei Airport
TET,Chingozi Airport
TEU,Manapouri Airport
TEV,Teruel Airport
TEX,Telluride Regional Airport
TEY,??ingeyri Airport
TEZ,Tezpur Airport
TFB,Tifalmin Airport
TFF,Tef?? Airport
TFI,Tufi Airport
TFL,Juscelino Kubitscheck Airport
TFM,Telefomin Airport
TFN,Tenerife Norte Airport
TFS,Tenerife South Airport
TFT,Taftan Airport
TFY,Tarfaya Airport
TGA,Tengah Air Base
TGC,Tanjung Manis Airport
TGD,Podgorica Airport
TGE,Sharpe Field
TGG,Sultan Mahmud Airport
TGH,Tongoa Airport
TGI,Tingo Maria Airport
TGJ,Tiga Airport
TGK,Taganrog Yuzhny Airport
TGL,Tagula Airport
TGM,Transilvania T?›rgu Mure? International Airport
TGN,Latrobe Valley Airport
TGO,Tongliao Airport
TGP,Podkamennaya Tunguska Airport
TGQ,Tangar?­ da Serra Airport
TGR,Touggourt Sidi Madhi Airport
TGS,Chokw?? Airport
TGT,Tanga Airport
TGU,Toncont??n International Airport
TGV,Bukhovtsi Airfield
TGZ,Angel Albino Corzo International Airport
THA,Tullahoma Regional Arpt/Wm Northern Field
THB,Thaba-Tseka Airport
THC,Tchien Airport
THD,Tho Xuan Airport
THE,Senador Petr??nio Portela Airport
THF,Berlin-Tempelhof International Airport
THG,Thangool Airport
THH,Taharoa Aerodrome
THI,Tichitt Airport
THK,Thakhek Airport
THL,Tachileik Airport
THM,Thompson Falls Airport
THN,Trollh??ttan-V??nersborg Airport
THO,Thorshofn Airport
THP,Hot Springs County Airport
THQ,Tianshui Maijishan Airport
THR,Mehrabad International Airport
THS,Sukhothai Airport
THT,Tamchakett Airport
THU,Thule Air Base
THV,York Airport
THW,Trincomalee Harbor Waterdrome
THX,Turukhansk Airport
THY,Thohoyandou Airport
THZ,Tahoua Airport
TIA,Tirana International Airport Mother Teresa
TIB,Tib?§ Airport
TIC,Tinak Airport
TID,Bou Chekif Airport
TIE,Tippi Airport
TIF,Taƒ??if Regional Airport
TIG,Tingwon Airport
TIH,Tikehau Airport
TII,Tarin Kowt Airport
TIJ,General Abelardo L. Rodr??guez International Airport
TIK,Tinker Air Force Base
TIL,Cheadle Airport
TIM,Moses Kilangin Airport
TIN,Tindouf Airport
TIO,Tilin Airport
TIP,Tripoli International Airport
TIQ,Tinian International Airport
TIR,Tirupati Airport
TIU,Timaru Airport
TIV,Tivat Airport
TIW,Tacoma Narrows Airport
TIX,Space Coast Regional Airport
TIY,Tidjikja Airport
TIZ,Tari Airport
TJA,Capitan Oriel Lea Plaza Airport
TJB,Sei Bati Airport
TJC,Ticantiki Airport
TJG,Warukin Airport
TJH,Tajima Airport
TJI,Trujillo Airport
TJK,Tokat Airport
TJL,Pl??nio Alarcom Airport
TJM,Roshchino International Airport
TJN,Takume Airport
TJQ,Buluh Tumbang (H A S Hanandjoeddin) Airport
TJS,Tanjung Harapan Airport
TJU,Kulob Airport
TJV,Tanjore Air Force Base
TKA,Talkeetna Airport
TKB,Tekadu Airport
TKC,Tiko Airport
TKD,Takoradi Airport
TKE,Tenakee Seaplane Base
TKF,Truckee Tahoe Airport
TKG,Radin Inten II (Branti) Airport
TKH,Takhli Airport
TKI,Tokeen Seaplane Base
TKJ,Tok Junction Airport
TKK,Chuuk International Airport
TKL,Taku Lodge Seaplane Base
TKM,El Pet??n Airport
TKN,Tokunoshima Airport
TKO,Tlokoeng Airport
TKP,Takapoto Airport
TKQ,Kigoma Airport
TKR,Thakurgaon Airport
TKS,Tokushima Airport/JMSDF Air Base
TKT,Tak Airport
TKU,Turku Airport
TKV,Tatakoto Airport
TKW,Tekin Airport
TKX,Takaroa Airport
TKY,Turkey Creek Airport
TKZ,Tokoroa Airfield
TLA,Teller Airport
TLB,Tarbela Dam Airport
TLC,Licenciado Adolfo Lopez Mateos International Airport
TLD,Limpopo Valley Airport
TLE,Toliara Airport
TLF,Telida Airport
TLG,Tulaghi Heliport
TLH,Tallahassee Regional Airport
TLI,Sultan Bantilan Airport
TLJ,Tatalina LRRS Airport
TLK,Talakan Airport
TLL,Lennart Meri Tallinn Airport
TLM,Zenata ƒ?? Messali El Hadj Airport
TLN,Toulon-Hy??res Airport
TLO,Tol Airport
TLP,Tumolbil Airport
TLQ,Turpan Jiaohe Airport
TLR,Mefford Field
TLS,Toulouse-Blagnac Airport
TLT,Tuluksak Airport
TLU,Golfo de Morrosquillo Airport
TLV,Ben Gurion International Airport
TLW,Talasea Airport
TLX,Panguilemo Airport
TLY,Plastun Airport
TLZ,Catal?œo Airport
TMA,Henry Tift Myers Airport
TMB,Kendall-Tamiami Executive Airport
TMC,Tambolaka Airport
TMD,Timbedra Airport
TME,Gustavo Vargas Airport
TMF,Thimarafushi Airport
TMG,Tomanggong Airport
TMH,Tanah Merah Airport
TMI,Tumling Tar Airport
TMJ,Termez Airport
TML,Tamale Airport
TMM,Toamasina Airport
TMN,Tamana Island Airport
TMO,Tumeremo Airport
TMP,Tampere-Pirkkala Airport
TMQ,Tambao Airport
TMR,Aguenar ƒ?? Hadj Bey Akhamok Airport
TMS,S?œo Tom?? International Airport
TMT,Trombetas Airport
TMU,Tambor Airport
TMW,Tamworth Airport
TMX,Timimoun Airport
TMY,Tiom Airport
TMZ,Thames Aerodrome
TNA,Yaoqiang Airport
TNB,Tanah Grogot Airport
TNC,Tin City Long Range Radar Station Airport
TND,Alberto Delgado Airport
TNE,New Tanegashima Airport
TNF,Toussus-le-Noble Airport
TNG,Ibn Batouta Airport
TNH,Tonghua Sanyuanpu Airport
TNI,Satna Airport
TNJ,Raja Haji Fisabilillah International Airport
TNK,Tununak Airport
TNM,Teniente Rodolfo Marsh Martin Base
TNN,Tainan Airport
TNO,Tamarindo Airport
TNP,Twentynine Palms Airport
TNQ,Washington Island Airstrip
TNR,Ivato Airport
TNS,Tungsten (Cantung) Airport
TNT,Dade Collier Training and Transition Airport
TNU,Newton Municipal Airport
TNV,Tabuaeran Island Airport
TNW,Jumandy Airport
TNX,Stung Treng Airport
TNZ,Tosontsengel Airport
TOA,Zamperini Field
TOB,Gamal Abdel Nasser Airport
TOC,Toccoa Airport - R.G. Letourneau Field
TOD,Pulau Tioman Airport
TOE,Tozeur Nefta International Airport
TOF,Bogashevo Airport
TOG,Togiak Airport
TOH,Torres Airstrip
TOI,Troy Municipal Airport at N Kenneth Campbell Field
TOJ,Torrej??n Airport
TOK,Torokina Airport
TOL,Toledo Express Airport
TOM,Timbuktu Airport
TON,Tonu Airport
TOO,San Vito De Java Airport
TOP,Philip Billard Municipal Airport
TOQ,Barriles Airport
TOR,Torrington Municipal Airport
TOS,Troms?? Airport
TOT,Totness Airport
TOU,Touho Airport
TOW,Toledo Airport
TOX,Tobolsk Airport
TOY,Toyama Airport
TOZ,Mahana Airport
TPA,Tampa International Airport
TPC,Tarapoa Airport
TPE,Taiwan Taoyuan International Airport
TPF,Peter O Knight Airport
TPG,Taiping (Tekah) Airport
TPH,Tonopah Airport
TPI,Tapini Airport
TPJ,Taplejung Airport
TPK,Teuku Cut Ali Airport
TPL,Draughon Miller Central Texas Regional Airport
TPN,Tiputini Airport
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport
TPQ,Amado Nervo National Airport
TPR,Tom Price Airport
TPS,Vincenzo Florio Airport Trapani-Birgi
TPT,Tapeta Airport
TPU,Tikapur Airport
TPX,Tupai Airport
TQD,Al Taqaddum Air Base
TQL,Tarko-Sale Airport
TQN,Talolqan Airport
TQP,Trepell Airport
TQQ,Maranggo Airport
TQR,San Domino Island Heliport
TQS,Tres Esquinas Air Base
TR7,Ottawa / Rockcliffe Seaplane Base
TRA,Tarama Airport
TRB,Gonzalo Mej??a Airport
TRC,Francisco Sarabia International Airport
TRD,Trondheim Airport V??rnes
TRE,Tiree Airport
TRF,"Sandefjord Airport, Torp"
TRG,Tauranga Airport
TRH,Trona Airport
TRI,Tri-Cities Regional TN/VA Airport
TRJ,Tarakbits Airport
TRK,Juwata Airport
TRL,Terrell Municipal Airport
TRM,Jacqueline Cochran Regional Airport
TRN,Turin Airport
TRO,Taree Airport
TRQ,Tarauac?­ Airport
TRR,China Bay Airport
TRS,Triesteƒ??Friuli Venezia Giulia Airport
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport
TRV,Trivandrum International Airport
TRW,Bonriki International Airport
TRY,Tororo Airport
TRZ,Tiruchirapally Civil Airport Airport
TSA,Taipei Songshan Airport
TSB,Tsumeb Airport
TSC,Taisha Airport
TSD,Tshipise Airport
TSE,Astana International Airport
TSF,Treviso-Sant'Angelo Airport
TSG,Tanacross Airport
TSH,Tshikapa Airport
TSI,Tsile Tsile Airport
TSJ,Tsushima Airport
TSK,Taskul Airport
TSL,Tamuin Airport
TSM,Taos Regional Airport
TSN,Tianjin Binhai International Airport
TSP,Tehachapi Municipal Airport
TSQ,Torres Airport
TSR,Timi?oara Traian Vuia Airport
TSS,East 34th Street Heliport
TST,Trang Airport
TSU,Tabiteuea South Airport
TSV,Townsville Airport
TSW,Tsewi Airport
TSX,Tanjung Santan Airport
TSY,Cibeureum Airport
TSZ,Tselserleg Airport
TTA,Tan Tan Airport
TTB,Tortol?ª Airport
TTC,Las Breas Airport
TTD,Portland Troutdale Airport
TTE,Sultan Khairun Babullah Airport
TTG,General Enrique Mosconi Airport
TTH,Thumrait Air Base
TTI,Tetiaroa Airport
TTJ,Tottori Airport
TTL,Turtle Island Seaplane Base
TTN,Trenton Mercer Airport
TTO,Britton Municipal Airport
TTQ,Aerotortuguero Airport
TTR,Pongtiku Airport
TTS,Tsaratanana Airport
TTT,Taitung Airport
TTU,Saniat R'mel Airport
TTW,Tissa Tank Waterdrome
TTX,Truscott-Mungalalu Airport
TUA,Teniente Coronel Luis a Mantilla Airport
TUB,Tubuai Airport
TUC,Teniente Benjamin Matienzo Airport
TUD,Tambacounda Airport
TUE,Tupile Airport
TUF,Tours-Val-de-Loire Airport
TUG,Tuguegarao Airport
TUH,Arnold Air Force Base
TUI,Turaif Domestic Airport
TUJ,Tum Airport
TUK,Turbat International Airport
TUL,Tulsa International Airport
TUM,Tumut Airport
TUN,Tunis Carthage International Airport
TUO,Taupo Airport
TUP,Tupelo Regional Airport
TUQ,Tougan Airport
TUR,Tucuru?? Airport
TUS,Tucson International Airport
TUT,Tauta Airport
TUU,Tabuk Airport
TUV,Tucupita Airport
TUX,Tumbler Ridge Airport
TUY,Tulum Naval Air Station
TUZ,Tucum?œ Airport
TVA,Morafenobe Airport
TVC,Cherry Capital Airport
TVF,Thief River Falls Regional Airport
TVI,Thomasville Regional Airport
TVL,Lake Tahoe Airport
TVS,Tangshan Sann?¬he Airport
TVU,Matei Airport
TVY,Dawei Airport
TWA,Twin Hills Airport
TWB,Toowoomba Airport
TWD,Jefferson County International Airport
TWE,Taylor Airport
TWF,Joslin Field Magic Valley Regional Airport
TWH,Two Harbors Amphibious Terminal
TWP,Torwood Airport
TWT,Sanga Sanga Airport
TWU,Tawau Airport
TWY,Tawa Airport
TWZ,Pukaki Airport
TXF,9 de Maio - Teixeira de Freitas Airport
TXG,Taichung Airport
TXK,Texarkana Regional Webb Field
TXL,Berlin-Tegel Airport
TXM,Teminabuan Airport
TXN,Tunxi International Airport
TXR,Tanbar Airport
TXU,Tabou Airport
TYA,Klokovo Airfield
TYB,Tibooburra Airport
TYD,Tynda Airport
TYE,Tyonek Airport
TYF,Torsby Airport
TYG,Thylungra Airport
TYL,Capitan Montes Airport
TYM,Staniel Cay Airport
TYN,Taiyuan Wusu Airport
TYP,Tobermorey Airport
TYR,Tyler Pounds Regional Airport
TYS,McGhee Tyson Airport
TYT,Treinta y Tres Airport
TYZ,Taylor Airport
TZA,Belize City Municipal Airport
TZC,Tuscola Area Airport
TZL,Tuzla International Airport
TZM,Cupul Airport
TZR,Tasz?­r Air Base
TZX,Trabzon International Airport
UAB,Žøncirlik Air Base
UAC,San Luis R??o Colorado Airport
UAE,Mount Aue Airport
UAH,Ua Huka Airport
UAI,Suai Airport
UAK,Narsarsuaq Airport
UAL,Luau Airport
UAM,Andersen Air Force Base
UAP,Ua Pou Airport
UAQ,Domingo Faustino Sarmiento Airport
UAR,Bouarfa Airport
UAS,Buffalo Spring
UAX,Uaxactun Airport
UBA,M?­rio de Almeida Franco Airport
UBB,Mabuiag Island Airport
UBI,Buin Airport
UBJ,Yamaguchi Ube Airport
UBP,Ubon Ratchathani Airport
UBR,Ubrub Airport
UBS,Columbus Lowndes County Airport
UBT,Ubatuba Airport
UBU,Kalumburu Airport
UCA,Oneida County Airport
UCB,Ulanqab Jining Airport
UCC,Yucca Airstrip
UCE,Eunice Airport
UCK,Lutsk Airport
UCN,Buchanan Airport
UCT,Ukhta Airport
UCY,Everett-Stewart Regional Airport
UCZ,Uchiza Airport
UDA,Undara Airport
UDD,Bermuda Dunes Airport
UDI,Ten. Cel. Aviador C??sar Bombonato Airport
UDJ,Uzhhorod International Airport
UDN,Udine-Campoformido Air Base
UDR,Maharana Pratap Airport
UEE,Queenstown Airport
UEL,Quelimane Airport
UEN,Urengoy Airport
UEO,Kumejima Airport
UES,Waukesha County Airport
UET,Quetta International Airport
UFA,Ufa International Airport
UGA,Bulgan Airport
UGB,Ugashik Bay Airport
UGC,Urgench Airport
UGI,San Juan /Uganik/ Seaplane Base
UGN,Waukegan National Airport
UGO,Uige Airport
UGS,Ugashik Airport
UGT,Bulagtai Resort Airport
UGU,Bilogai-Sugapa Airport
UHE,Kunovice Airport
UHF,RAF Upper Heyford
UIB,El Cara?ño Airport
UIH,Phu Cat Airport
UII,Utila Airport
UIK,Ust-Ilimsk Airport
UIL,Quillayute Airport
UIN,Quincy Regional Baldwin Field
UIO,Mariscal Sucre International Airport
UIP,Quimper-Cornouaille Airport
UIQ,Quion Hill Airport
UIR,Quirindi Airport
UIT,Jaluit Airport
UIZ,Berz-Macomb Airport
UJE,Ujae Atoll Airport
UJN,Uljin Airport
UKA,Ukunda Airstrip
UKB,Kobe Airport
UKG,Ust-Kuyga Airport
UKH,Mukhaizna Airport
UKI,Ukiah Municipal Airport
UKK,Ust-Kamennogorsk Airport
UKN,Waukon Municipal Airport
UKR,Mukeiras Airport
UKS,Belbek Airport
UKT,Quakertown Airport
UKU,Nuku Airport
UKX,Ust-Kut Airport
ULA,Capitan D Daniel Vazquez Airport
ULB,Ul??i Airport
ULC,Los Cerrillos Airport
ULD,Prince Mangosuthu Buthelezi Airport
ULE,Sule Airport
ULG,??lgii Airport
ULG,Ulgii Mongolei Airport
ULH,Majeed Bin Abdulaziz Airport
ULI,Ulithi Airport
ULK,Lensk Airport
ULM,New Ulm Municipal Airport
ULN,Chinggis Khaan International Airport
ULO,Ulaangom Airport
ULP,Quilpie Airport
ULQ,Heriberto G??l Mart??nez Airport
ULU,Gulu Airport
ULV,Ulyanovsk Baratayevka Airport
ULX,Ulusaba Airport
ULY,Ulyanovsk East Airport
ULZ,Donoi Airport
UMA,Punta de Maisi Airport
UMC,Umba Airport
UMD,Uummannaq Heliport
UME,Ume? Airport
UMI,Quince Air Base
UMM,Summit Airport
UMR,Woomera Airfield
UMS,Ust-Maya Airport
UMT,Umiat Airport
UMU,Umuarama Airport
UMY,Sumy Airport
UNA,Hotel Transam??rica Airport
UNC,Unguia Airport
UND,Konduz Airport
UNE,Qacha's Nek Airport
UNG,Kiunga Airport
UNI,Union Island International Airport
UNK,Unalakleet Airport
UNN,Ranong Airport
UNR,??nd??rkhaan Airport
UNT,Unst Airport
UNU,Dodge County Airport
UOA,Mururoa Atoll Airport
UOL,Buol Airport
UOS,Franklin County Airport
UOX,University Oxford Airport
UPB,Playa Baracoa Airport
UPG,Hasanuddin International Airport
UPL,Upala Airport
UPN,Licenciado y General Ignacio Lopez Rayon Airport
UPP,Upolu Airport
UPR,Upiara Airport
UPV,Upavon Aerodrome
URA,Uralsk Airport
URB,Urubupunga Airport
URC,??r?¬mqi Diwopu International Airport
URD,Burg Feuerstein Airport
URE,Kuressaare Airport
URG,Rubem Berta Airport
URI,Uribe Airport
URJ,Uray Airport
URM,Uriman Airport
URN,Urgun Airport
URO,Rouen Airport
URR,Urrao Airport
URS,Kursk East Airport
URT,Surat Thani Airport
URU,Uroubi Airport
URY,Gurayat Domestic Airport
URZ,Or®zgŽn Airport
USA,Concord-Padgett Regional Airport
USH,Malvinas Argentinas Airport
USI,Mabaruma Airport
USK,Usinsk Airport
USL,Useless Loop Airport
USM,Samui Airport
USN,Ulsan Airport
USO,Usino Airport
USQ,U?ak Airport
USR,Ust-Nera Airport
USS,Sancti Spiritus Airport
UST,Northeast Florida Regional Airport
USU,Francisco B. Reyes Airport
UTA,Mutare Airport
UTB,Muttaburra Airport
UTC,Soesterberg Air Base
UTD,Nutwood Downs Airport
UTE,Bultfontein Airport
UTG,Quthing Airport
UTH,Udon Thani Airport
UTI,Utti Air Base
UTK,Utirik Airport
UTM,Tunica Municipal Airport
UTN,Pierre Van Ryneveld Airport
UTO,Indian Mountain LRRS Airport
UTP,U-Tapao International Airport
UTR,Uttaradit Airport
UTS,Ust-Tsylma Airport
UTT,K. D. Matanzima Airport
UTU,Ustupo Airport
UTW,Queenstown Airport
UUA,Bugulma Airport
UUD,Ulan-Ude Airport (Mukhino)
UUK,Ugnu-Kuparuk Airport
UUN,Baruun Urt Airport
UUS,Yuzhno-Sakhalinsk Airport
UUU,Manumu Airport
UVA,Garner Field
UVE,Ouv??a Airport
UVF,Hewanorra International Airport
UVL,El Kharga Airport
UVO,Uvol Airport
UWA,Ware Airport
UYL,Nyala Airport
UYN,Yulin Yuyang Airport
UYU,Uyuni Airport
UZM,Hope Bay Aerodrome
UZR,Urzhar Airport
UZU,Curuzu Cuatia Airport
VAA,Vaasa Airport
VAC,Varrelbusch Airport
VAD,Moody Air Force Base
VAF,Valence-Chabeuil Airport
VAG,Major Brigadeiro Trompowsky Airport
VAH,Capit?­n Av. Vidal Villagomez Toledo Airport
VAI,Vanimo Airport
VAK,Chevak Airport
VAL,Valen??a Airport
VAM,Villa Airport
VAN,Van Ferit Melen Airport
VAO,Suavanao Airport
VAP,Rodelillo Airport
VAR,Varna Airport
VAS,Sivas Nuri DemiraŽ? Airport
VAT,Vatomandry Airport
VAU,Vatukoula Airport
VAV,Vava'u International Airport
VAW,"Vard?? Airport, Svartnes"
VBA,Ann Airport
VBG,Vandenberg Air Force Base
VBP,Bokpyinn Airport
VBS,Brescia Airport
VBV,Vanua Balavu Airport
VBY,Visby Airport
VCA,Can Tho International Airport
VCD,Victoria River Downs Airport
VCE,Venice Marco Polo Airport
VCF,Valcheta Airport
VCH,Vichadero Airport
VCL,Chu Lai International Airport
VCP,Viracopos International Airport
VCR,Carora Airport
VCS,Co Ong Airport
